Mary,Wollstonecraft
Sheldon,Kopp
Satchel,Paige
Billy,Wilder
Niccolo,Machiavelli
James,Faust
Hasidic,saying
Joseph,Campbell
Fannie,Hamer
Byron,Roberts
Babatunde,Olatunji
Tony,Blair
Ray,Bradbury
Herbert,Swope
Ed,Cunningham
Angela,Schwindt
Orison,Marden
Sam,Levenson
Doris,Mortman
Mohandas,Gandhi
Mortimer,Adler
Walter,Linn
Tenzin,Gyatso
Edmund,Burke
William,Channing
Alphonse,Karr
Margaret,Laurence
Ajahn,Chah
Vincent,Lombardi
Jean-Paul,Sartre
Elisabeth,Kubler-Ross
Anne,Lindbergh
Dale,Carnegie
Nathaniel,Hawthorne
Caroline,Myss
William,James
Uta,Hagen
Victor,Frankl
Amy,Tan
Stephen,Covey
Paul,Graham
Chuck,Norris
Amy,Bloom
Keshavan,Nair
Margaret,Smith
Ingrid,Bergman
Thornton,Wilder
James,Oppenheim
Martha,Washington
Margaret,Bonnano
Joe,Paterno
Cathy,Pulsifer
Gail,Sheehy
English,proverb
John,Locke
Soren,Kierkegaard
David,Eddings
David,McCullough
William,Blake
Cheng,Yen
Andy,Rooney
Paul,Tillich
William,Burroughs
Alfred,Painter
Anne,Lamott
Charles,Perkhurst
Robert,Kennedy
Richard,Whately
Alexander,Pope
Brendan,Francis
Abraham,Maslow
Zig,Ziglar
Kenji,Miyazawa
Albert,Gray
Grandma,Moses
Swedish,proverb
Felix,Adler
Joseph,Joubert
Ella,Fitzgerald
C.,Pulsifer
Fran,Watson
Mary,Almanac
Ralph,Marston
Lewis,Cass
Thomas,Paine
Danilo,Dolci
Franz,Liszt
Corita,Kent
Alice,Walker
Charles,Chesnutt
Elizabeth,Kenny
Mal,Pancoast
Edward,Young
Claire,Charmont
Sinvyest,Tan
Joyce,Brothers
Anthony,D'Angelo
Gordon,Hinckley
Edmond,Rostand
Ymber,Delecto
Michael,Vance
Naomi,Williams
Frederick,Wilcox
Simone,Weil
Forrest,Gump
Jean,Lacordaire
Booker,Washington
Woody,Guthrie
Forrest,Church
Coco,Chanel
Ambrose,Bierce
Etty,Hillesum
William,Londen
Theodore,Roosevelt
William,White
Jamie,Paolinetti
Joe,Namath
Pierre,Abelard
Saul,Alinsky
Robert,Brault
John,Lubbock
Alfred,Adler
Robert,Schuller
Stephen,Kaggwa
Percy,Shelley
Korean,proverb
Bertrand,Russell
Douglas,Adams
Muriel,Rukeyser
Will,Durant
Lauren,Raffo
John,Barrymore
Winifred,Holtby
Richard,Garriott
Harriet,Lerner
Doug,Horton
Maori,proverb
Jack,Buck
Whoopi,Goldberg
Henry,Reed
Pat,Riley
Galileo,Galilei
Margaret,Wheatley
Sarah,Breathnach
Lisa,Alther
Walter,Benjamin
Lama,Yeshe
Cardinal,Retz
Vaclav,Havel
Katherine,Mansfield
Victoria,Holt
Chuang,Tzu
Billie,Armstrong
Alfred,Korzybski
Alfred,Whitehead
James,Yorke
Carl,Bard
Robert,Orben
Hermann,Hesse
David,Bader
Mahummad,Ali
David,Rockefeller
Ellen,Parr
James,Openheim
Henry,Beecher
John,Acosta
Moncure,Conway
Norman,Peale
Theodore,Rubin
Harriet,Tubman
George,Santayan
Carlos,Castaneda
Henry,James
William,Hazlitt
Philip,Breedveld
John,Powell
Tim,Menchen
Charles,Dubois
Stephen,Sigmund
John,Marshall
George,Sand
Matt,Zotti
Jane,Roberts
Norman,Cousins
Cadet,Maxim
Paul,Boese
Edwin,Markham
Robert,Southey
Max,Planck
Anna,Pavlova
Rabindranath,Tagore
Edith,Wharton
Edna,Millay
George,Shaw
Harry,Banks
Colin,Powell
Henri,Amiel
Betty,Friedan
John,Simone
Mary,Parrish
Zadok,Rabinowitz
John,Holmes
Nora,Roberts
Jules,Poincare
Carla,Gordon
Edward,Ericson
Linda,Hogan
May,Sarton
Rachel,Carson
Ernest,Hemingway
Hannah,Senesh
Michael,Burke
Ben,Sweetland
John,Updike
Carl,Sagan
Jawaharlal,Nehru
Elizabeth,Montagu
William,Scolavino
Rabbi,Hillel
Audre,Lorde
Alexis,Carrel
James,Pence
Agatha,Christie
Dale,Earnhardt
Sam,Rayburn
Jonathan,Swift
Margaret,Fuller
Will,Rogers
Lee,Womack
William,Menninger
Eddie,Cantor
Jim,Bishop
Thomas,Kempis
Christian,Bovee
Mary,Pickford
Robert,Pirsig
Doris,Day
Richard,Needham
Harriet,Woods
Philip,Sidney
Anne,Bradstreet
Marianne,Williamson
Benjamin,Haydon
Ella,Wilcox
John,Junor
Lazurus,Long
Melody,Beattie
Harold,Nicolson
Tom,Jackson
Arnold,Schwarzenegger
